Variant,CV_RMSE
V2: + Region,85.06542565200489
V5: V2 + breaks,85.0654256520049
V4: Full (no PAC),107.56513142634185
V3: + Crime ctx,112.35373893744254
V1: Temporal,114.74206101863524
