Region,Quarter Ending,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC
Alice Springs,2024-03-31,9.52,6640.5653299999985,44.945750000000004,1757.4360000000006,14920.634575000005,6988.780830000001,18294.52464,10165.366050000002,247.49580000000006,59069.26897500002
Alice Springs,2024-06-30,17.849999999999998,10116.582461999998,112.924,2100.209999999999,18684.527399999988,8383.525230000001,21246.282720000003,11451.425999999996,225.4692,72338.79701200004
Alice Springs,2024-09-30,37.247,10849.826785000001,132.4415,2309.8968000000004,21845.252275000003,9244.730250000004,21807.917280000005,12485.039,315.2934,79027.64429
Alice Springs,2024-12-31,32.189499999999995,8872.372964,53.60375,2288.234399999999,20433.950075,8786.698770000006,19934.184960000002,11753.147000000003,288.7407,72443.12211900002
Darwin,2024-03-31,4196.058999999999,35049.22541400002,466.54225000000014,4740.109200000003,39570.561799999974,16602.49488000001,51689.16288,28821.732449999996,1259.1920999999988,182395.07997400023
Darwin,2024-06-30,4947.425,44685.530897,538.67375,6507.3605999999945,52002.66032499993,22639.938869999994,68296.40716800003,38611.35284999998,1379.5775999999985,239608.92706000016
Darwin,2024-09-30,5144.488999999999,49848.00936500001,1216.68025,6313.650600000001,57177.9900999999,24125.671799999996,72605.02511999998,42918.272950000006,1498.3856999999991,260848.17488500013
Darwin,2024-12-31,4593.519,38075.248449000006,1220.8612499999997,5409.869999999996,54379.41354999994,21128.01956999997,58722.15523200001,36037.08185000001,1319.7611999999992,220885.9301010001
Katherine,2024-03-31,63.30799999999999,2027.2173599999996,19.98,857.6136,7822.046925,3712.7497200000003,9910.906560000001,6866.896750000001,288.369,31569.087915000004
Katherine,2024-06-30,185.64,4170.33358,37.60125,1262.1797999999997,11767.856100000006,5133.366420000001,12138.205919999997,10323.257350000002,312.4788,45330.91922000001
Katherine,2024-09-30,248.47199999999998,4952.977539999999,86.987,1376.3927999999999,12866.524825,5934.26088,14549.555520000002,11839.741199999999,304.25699999999995,52159.16876500001
Katherine,2024-12-31,105.91,2816.232104,76.3125,1071.5220000000002,11824.938125000013,4813.49211,13080.316320000002,9707.034749999999,273.0912,43768.84910900002
Nhulunbuy,2024-03-31,14.28,1007.3433299999999,29.415,238.09499999999997,2152.9277000000006,1434.04989,3462.83184,1585.7967999999996,55.5606,9980.30016
Nhulunbuy,2024-06-30,67.116,1499.20722,47.730000000000004,378.4325999999999,2787.4462,1825.6849200000004,4396.8734399999985,2519.0105500000004,59.8662,13581.36713
Nhulunbuy,2024-09-30,41.412,1939.3537099999996,50.643750000000004,419.406,2834.1659500000005,1969.65324,5347.3319999999985,2967.2545000000005,68.10839999999999,15637.329550000002
Nhulunbuy,2024-12-31,32.844,1191.3411299999998,25.807499999999997,363.44088,3128.8642,2002.0338,4335.05952,2627.5487000000003,78.5952,13785.534929999998
NT Balance,2024-03-31,1119.5520000000001,8556.135461999998,209.73449999999997,3061.2684000000013,16346.254925000001,12281.184090000015,27190.685760000008,31586.424100000015,1091.9414999999997,101443.18073700008
NT Balance,2024-06-30,1293.173,12675.609513000005,287.1015,3825.7086000000013,21220.841949999995,16656.460200000012,36105.403968,42295.39895000002,1194.8541000000002,135554.55178099996
NT Balance,2024-09-30,1639.4629999999997,14985.65262599999,436.267,4176.761400000001,24562.066374999988,19854.776939999992,39286.432320000014,49815.76074999998,1444.0926,156201.27301100004
NT Balance,2024-12-31,1219.0360000000003,9404.608556000003,310.12474999999995,3475.8194399999993,24501.257549999995,16900.417064999987,29710.215696,45161.84575000003,1321.9112999999995,132005.23610700006
Palmerston,2024-03-31,1764.889,9172.454550000002,166.85150000000002,2188.3349999999996,15346.146200000001,10363.347270000006,19698.39264,16747.00405,682.2020999999999,76129.62231000002
Palmerston,2024-06-30,2031.0919999999999,10755.386599999998,214.82200000000003,2651.741760000001,17195.258849999995,12338.624130000004,23282.955551999996,19364.095799999996,770.9636999999998,88604.94039199996
Palmerston,2024-09-30,2297.057,12117.504629999998,229.474,2805.3942,20475.870799999997,14193.543780000004,24467.25600000001,23531.893699999993,842.3748,100960.36890999999
Palmerston,2024-12-31,2136.645,10032.470168000002,206.5525,2458.8876000000005,19810.400224999998,13230.508830000002,20804.789375999993,21625.26625,764.1156000000001,91069.63554899998
Tennant Creek,2024-03-31,743.9879999999999,334.3305,3.33,401.67599999999993,3166.9715,892.2495,4026.2395199999996,2346.78955,9.405,11924.979569999998
Tennant Creek,2024-06-30,821.0999999999999,413.6559,4.1625,430.236,3433.353,1094.2689000000003,3984.46032,2540.0686500000006,3.21,12724.515269999998
Tennant Creek,2024-09-30,743.9879999999999,490.6251,3.33,519.3779999999999,4038.2264999999998,1275.3522,4896.25344,2824.3631500000006,6.6899999999999995,14798.206390000001
Tennant Creek,2024-12-31,678.4784999999999,373.85040000000004,4.1625,613.5,3511.6620000000003,1276.5492,4567.5556799999995,2515.8322000000003,8.879999999999999,13550.470479999998
