Region,Quarter Ending,Cask Wine PAC,Bottled Wine PAC,Fortified Wine PAC,Cider PAC,Standard Spirits PAC,Mixed Spirits PAC,Full-Strength Beer PAC,Mid-Strength Beer PAC,Low-Strength Beer PAC,Total PAC
Alice Springs,2025-03-31,34.272,6821.724266,49.145250000000004,1693.6812000000002,14470.837150000001,6207.250979999997,16663.791839999998,9296.8722,294.94485000000003,55532.51973599998
Alice Springs,2025-06-30,60.214,9476.999587999999,155.24275,1809.6918,18630.596599999997,8569.29849,20635.869599999998,11413.904950000002,285.45810000000006,71037.27587800001
Alice Springs,2025-09-30,28.0,10769.0,170.0,1806.0,20254.0,8677.0,20362.0,11319.0,263.0,73648.0
Alice Springs,2025-12-31,19.0,7743.0,230.0,1998.0,19635.0,9521.0,20039.0,10949.0,243.0,70377.0
Darwin,2025-03-31,4450.956999999999,31303.11600499999,763.55975,4239.451800000002,36357.432649999944,15076.272000000017,48508.17571200002,29526.66780000002,1192.1810999999993,171417.81381699993
Darwin,2025-06-30,5784.7387499999995,39041.678270000026,1360.2309999999995,5152.074000000003,45753.67720000002,19316.772749999993,59419.229183999974,36504.58349999994,1222.268099999998,213555.25275400007
Darwin,2025-09-30,6881.0,47850.0,608.0,6358.0,54340.0,24665.0,72011.0,43173.0,1376.0,257262.0
Darwin,2025-12-31,7005.0,37614.0,531.0,5021.0,51376.0,21638.0,58569.0,36822.0,1212.0,219788.0
Katherine,2025-03-31,104.958,2301.1168040000002,14.5595,802.8582,9278.667475000011,3560.00397,10313.44992,7796.046650000001,214.80720000000002,34386.467719
Katherine,2025-06-30,517.65,5705.538538000001,78.67125,1249.0794,13302.433375,4972.15503,11233.232160000001,10240.857899999999,270.414,47570.03165300001
Katherine,2025-09-30,558.0,5920.0,65.0,1251.0,14590.0,5764.0,12911.0,10788.0,291.0,52138.0
Katherine,2025-12-31,337.0,2784.0,43.0,1103.0,8922.0,4979.0,12236.0,8618.0,232.0,39254.0
Nhulunbuy,2025-03-31,5.712,1100.68098,44.1225,291.16176,1839.1835000000003,1069.7081699999999,3178.85808,1786.6121,59.628600000000006,9375.66769
Nhulunbuy,2025-06-30,30.464,1346.68968,35.519999999999996,361.42740000000003,2172.7359500000002,1736.06268,4134.70032,2218.37385,40.916700000000006,12076.89058
Nhulunbuy,2025-09-30,39.0,1491.0,46.0,423.0,2654.0,2017.0,4578.0,2765.0,72.0,14085.0
Nhulunbuy,2025-12-31,14.0,1006.0,23.0,347.0,2458.0,2109.0,4088.0,2697.0,58.0,12800.0
NT Balance,2025-03-31,1006.74,8224.091189999997,221.76874999999998,2701.13052,16551.071074999993,12106.39017,22922.8488,31489.654700000003,1067.1668999999995,96290.862105
NT Balance,2025-06-30,1563.898,12126.457237999999,486.63324999999986,3360.390480000001,20502.541674999997,16816.74477000001,32599.51804799999,42410.94934999997,1152.4652999999996,131019.59811100006
NT Balance,2025-09-30,2301.0,15574.0,602.0,3969.0,25020.0,20409.0,38985.0,51964.0,1383.0,160207.0
NT Balance,2025-12-31,1849.0,10266.0,431.0,3072.0,24080.0,16037.0,31772.0,42186.0,1186.0,130879.0
Palmerston,2025-03-31,2526.1319999999996,9525.380942,142.38524999999998,2144.8378799999996,15595.343225000002,10287.21522,17496.151008000004,17882.506949999995,686.5449,76286.49737499999
Palmerston,2025-06-30,2921.688,10005.698737999996,221.85200000000003,2388.5894399999997,17387.627950000006,12042.620280000001,20217.70137600001,21256.6641,712.7291999999999,87155.17108400003
Palmerston,2025-09-30,3161.0,11606.0,196.0,2784.0,20213.0,14793.0,23849.0,24785.0,760.0,102147.0
Palmerston,2025-12-31,3024.0,10751.0,190.0,2466.0,21074.0,12381.0,19933.0,21353.0,724.0,91896.0
Tennant Creek,2025-03-31,519.7919999999999,264.09670000000006,0.0,402.31800000000004,2697.0405,755.2728,3414.51312,1878.555,7.02,9938.60812
Tennant Creek,2025-06-30,609.756,446.4047,0.8325,409.00199999999995,3269.112,933.3522,3873.7392000000004,2104.1005999999998,3.21,11649.509199999999
Tennant Creek,2025-09-30,687.0,495.0,38.0,580.0,4072.0,1207.0,4379.0,2369.0,7.0,13834.0
Tennant Creek,2025-12-31,732.0,389.0,56.0,499.0,3204.0,1042.0,4067.0,2146.0,7.0,12142.0
